label,date,open,high,low,close,adjclose
weekly,2022-09-02,3145.0,3226.95,3081.3,3129.6499,3129.6499
monthly,2022-08-30,3327.05,3428.0,3081.3,3211.6001,3211.6001
quarterly,2022-06-30,3746.15,3835.5,3023.35,3265.25,3256.6531
halfly,2022-06-30,3744.0,4045.5,3023.35,3265.25,3256.6531
yearly,2021-12-31,2879.0,3990.0,2701.0,3736.85,3695.58
