label,date,open,high,low,close,adjclose
weekly,2022-09-02,223.8,236.75,222.1,229.2,229.2
monthly,2022-08-30,213.0,235.4,205.5,234.85,234.85
quarterly,2022-06-30,183.3,209.0,164.75,185.5,182.9687
halfly,2022-06-30,147.1,209.0,147.1,185.5,182.9687
yearly,2021-12-31,135.1,203.85,123.45,146.05,139.7504
